idx,transformer_model,n_neighbors,n_components,min_dist,min_cluster_size,cluster_selection_method,ngram_range,coherence,topic_diversity,silhouette_score,n_topics,n_outlier_pubs
0,BAAI/bge-large-en-v1.5,17,5,0,15,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
1,BAAI/bge-large-en-v1.5,15,17,0,15,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
2,BAAI/bge-large-en-v1.5,15,17,0,17,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
3,BAAI/bge-large-en-v1.5,13,7,0,20,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
4,BAAI/bge-large-en-v1.5,17,13,0,10,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
5,BAAI/bge-large-en-v1.5,13,9,0.05,10,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
6,BAAI/bge-large-en-v1.5,17,5,0,13,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
7,BAAI/bge-large-en-v1.5,15,17,0.05,13,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
8,BAAI/bge-large-en-v1.5,17,13,0.05,10,eom,"(1, 4)",0.909444216,1,0.10653188,3,1
9,BAAI/bge-large-en-v1.5,13,9,0,10,eom,"(1, 4)",0.906150261,0.933333333,0.10691476,3,1
10,BAAI/bge-large-en-v1.5,13,7,0.05,9,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
11,BAAI/bge-large-en-v1.5,15,13,0,13,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
12,BAAI/bge-large-en-v1.5,17,5,0,17,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
13,BAAI/bge-large-en-v1.5,15,13,0,10,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
14,BAAI/bge-large-en-v1.5,17,13,0,13,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
15,BAAI/bge-large-en-v1.5,15,13,0,9,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
16,BAAI/bge-large-en-v1.5,15,9,0,17,eom,"(1, 4)",0.888994329,1,0.10705601,3,2
17,BAAI/bge-large-en-v1.5,15,5,0.05,9,eom,"(1, 4)",0.885920498,1,0.10918494,3,9
18,BAAI/bge-large-en-v1.5,15,17,0.05,13,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
19,BAAI/bge-large-en-v1.5,15,17,0,17,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
20,BAAI/bge-large-en-v1.5,17,13,0,10,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
21,BAAI/bge-large-en-v1.5,17,5,0,15,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
22,BAAI/bge-large-en-v1.5,17,5,0,13,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
23,BAAI/bge-large-en-v1.5,15,17,0,15,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
24,BAAI/bge-large-en-v1.5,17,13,0.05,10,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
25,BAAI/bge-large-en-v1.5,13,7,0,20,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
26,BAAI/bge-large-en-v1.5,13,9,0.05,10,eom,"(1, 3)",0.884101214,1,0.10653188,3,1
27,BAAI/bge-large-en-v1.5,13,20,0,9,eom,"(1, 4)",0.880059978,1,0.10728004,3,3
28,BAAI/bge-large-en-v1.5,15,17,0.05,15,eom,"(1, 4)",0.879824502,0.966666667,0.10719977,3,3
29,BAAI/bge-large-en-v1.5,13,9,0,10,eom,"(1, 3)",0.877871055,0.933333333,0.10691476,3,1
30,BAAI/bge-large-en-v1.5,17,13,0,15,eom,"(1, 4)",0.872208187,0.966666667,0.10787701,3,5
31,BAAI/bge-large-en-v1.5,20,5,0,9,eom,"(1, 4)",0.870128641,0.966666667,0.109955505,3,6
32,BAAI/bge-large-en-v1.5,20,5,0,13,eom,"(1, 4)",0.870128641,0.966666667,0.109955505,3,6
33,BAAI/bge-large-en-v1.5,15,7,0.05,6,eom,"(1, 4)",0.86933615,0.8,0.032903407,5,1
34,BAAI/bge-large-en-v1.5,20,20,0.05,5,eom,"(1, 4)",0.869322597,1,-0.007835299,2,361
35,BAAI/bge-large-en-v1.5,15,15,0,8,eom,"(1, 4)",0.869322597,1,-0.007835299,2,361
36,BAAI/bge-large-en-v1.5,15,9,0.05,9,eom,"(1, 4)",0.868968615,1,0.107701555,3,7
37,BAAI/bge-large-en-v1.5,15,9,0,20,eom,"(1, 4)",0.868506588,1,0.10747996,3,5
